Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Joe Johnson,39:31,15,25,.600,3,6,.500,2,2,1.000,3,1,4,3,2,0,2,3,35,-15,0
Josh Smith,38:52,4,11,.364,0,0,nan,3,4,.750,2,4,6,5,0,1,2,4,11,-5,0
Mike Bibby,37:45,7,16,.438,3,7,.429,3,3,1.000,0,3,3,6,1,0,2,2,20,-3,0
Marvin Williams,30:33,4,5,.800,0,1,.000,0,0,nan,1,6,7,1,1,1,1,2,8,-3,0
Al Horford,25:12,4,8,.500,0,0,nan,2,2,1.000,0,7,7,3,1,1,2,5,10,-16,0
Jamal Crawford,32:34,3,12,.250,1,2,.500,4,4,1.000,1,4,5,3,0,0,1,3,11,+1,0
Zaza Pachulia,11:36,1,2,.500,0,0,nan,0,0,nan,1,1,2,0,0,1,0,2,2,-1,0
Jason Collins,10:42,0,0,nan,0,0,nan,0,0,nan,1,1,2,1,0,1,0,1,0,+12,0
Joe Smith,6:43,1,3,.333,0,0,nan,0,0,nan,0,4,4,0,0,0,0,1,2,+5,0
Maurice Evans,6:32,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,1,2,0,0
Team Totals,240,40,83,.482,7,16,.438,14,15,.933,9,32,41,22,5,5,11,24,101,nan,0
LeBron James,43:12,15,23,.652,4,6,.667,14,16,.875,3,7,10,6,2,2,3,3,48,+7,1
Mo Williams,36:42,5,14,.357,1,5,.200,3,3,1.000,4,1,5,10,2,0,1,2,14,+4,1
Anthony Parker,33:06,3,6,.500,0,1,.000,0,0,nan,0,4,4,2,0,0,0,2,6,+7,1
Shaquille O'Neal,20:14,4,9,.444,0,0,nan,3,8,.375,2,3,5,3,0,1,2,1,11,+4,1
J.J. Hickson,17:08,2,6,.333,0,0,nan,0,0,nan,0,4,4,0,1,0,1,1,4,+7,1
Anderson Varejao,32:34,6,8,.750,1,1,1.000,1,3,.333,1,8,9,0,0,3,0,1,14,-1,1
Delonte West,16:36,0,3,.000,0,0,nan,0,0,nan,0,1,1,1,1,1,0,1,0,-1,1
Daniel Gibson,13:46,1,3,.333,0,2,.000,0,0,nan,0,1,1,0,0,2,0,0,2,+12,1
Zydrunas Ilgauskas,13:34,0,1,.000,0,0,nan,2,2,1.000,0,2,2,1,0,0,0,4,2,-13,1
Jamario Moon,13:08,0,3,.000,0,3,.000,5,6,.833,0,3,3,1,1,0,0,0,5,-1,1
240,40,83,.482,7,16,.438,14,15,.933,9,32,41,22,5,5,11,24,101,nan,240,1
