Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Kyrie Irving,30:50,6,16,.375,3,9,.333,4,4,1.000,0,0,0,3,4,0,3,4,19,-9,0
Alonzo Gee,26:22,4,10,.400,1,3,.333,1,2,.500,1,4,5,2,0,0,1,1,10,+3,0
Tristan Thompson,25:41,6,14,.429,0,0,nan,4,7,.571,2,5,7,1,1,0,1,2,16,-4,0
Andrew Bynum,17:31,2,2,1.000,0,0,nan,0,0,nan,2,2,4,2,0,0,1,2,4,-4,0
C.J. Miles,13:02,1,4,.250,1,4,.250,2,2,1.000,0,1,1,1,0,0,2,4,5,+4,0
Dion Waiters,35:04,5,11,.455,2,4,.500,4,4,1.000,2,1,3,0,0,0,2,2,16,-11,0
Anderson Varejao,31:21,2,5,.400,0,0,nan,2,4,.500,2,6,8,4,0,1,1,0,6,-5,0
Jarrett Jack,21:42,6,11,.545,0,3,.000,2,2,1.000,1,4,5,4,1,0,1,0,14,-1,0
Earl Clark,15:57,5,9,.556,2,5,.400,0,0,nan,1,1,2,0,0,0,0,1,12,-1,0
Matthew Dellavedova,15:08,2,2,1.000,1,1,1.000,0,0,nan,1,3,4,1,1,0,2,2,5,-2,0
Anthony Bennett,7:22,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,1,2,0,-5,0
Henry Sims,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Sergey Karasev,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,39,84,.464,10,29,.345,19,25,.760,12,27,39,18,7,1,15,20,107,nan,0
LeBron James,40:37,9,12,.750,0,2,.000,7,10,.700,2,7,9,9,4,0,2,2,25,+6,1
Dwyane Wade,33:46,9,15,.600,0,0,nan,6,9,.667,3,3,6,3,1,0,1,3,24,-13,1
Mario Chalmers,30:20,3,7,.429,3,5,.600,2,2,1.000,0,3,3,5,2,1,3,1,11,+11,1
Chris Bosh,30:10,10,17,.588,0,0,nan,2,3,.667,2,10,12,1,0,1,0,4,22,+15,1
Shane Battier,13:03,1,1,1.000,0,0,nan,0,0,nan,1,0,1,0,0,1,0,4,2,+3,1
Ray Allen,25:16,3,5,.600,2,4,.500,4,4,1.000,0,2,2,2,1,0,3,4,12,+13,1
Norris Cole,25:13,4,8,.500,0,2,.000,1,2,.500,0,2,2,3,2,2,3,1,9,+12,1
Rashard Lewis,23:45,2,7,.286,2,7,.286,0,0,nan,0,0,0,1,0,1,1,1,6,-4,1
Chris Andersen,17:50,1,4,.250,1,1,1.000,0,0,nan,1,4,5,0,0,3,1,1,3,-8,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Udonis Haslem,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Roger Mason,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Joel Anthony,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,39,84,.464,10,29,.345,19,25,.760,12,27,39,18,7,1,15,20,107,nan,240,1
