Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Dirk Nowitzki,40:27,7,18,.389,1,2,.500,12,12,1.000,0,8,8,2,0,0,2,4,27,-2,0
Jason Kidd,36:25,3,8,.375,3,7,.429,0,0,nan,0,4,4,6,0,1,3,0,9,-7,0
Shawn Marion,35:20,6,12,.500,0,0,nan,4,5,.800,3,7,10,4,1,1,3,1,16,-9,0
Tyson Chandler,33:47,3,4,.750,0,0,nan,3,5,.600,0,4,4,2,1,2,2,5,9,-2,0
DeShawn Stevenson,14:26,2,3,.667,2,3,.667,0,0,nan,0,2,2,0,0,1,0,2,6,-5,0
Jason Terry,32:30,3,10,.300,3,7,.429,3,4,.750,1,0,1,1,0,0,1,2,12,0,0
J.J. Barea,18:09,1,8,.125,0,0,nan,0,0,nan,0,0,0,3,1,0,0,2,2,-6,0
Peja Stojakovic,14:43,0,3,.000,0,3,.000,0,0,nan,0,0,0,0,2,0,0,3,0,-3,0
Brendan Haywood,14:13,0,1,.000,0,0,nan,3,6,.500,2,5,7,0,1,3,0,3,3,-6,0
Team Totals,240,25,67,.373,9,22,.409,25,32,.781,6,30,36,18,6,8,11,22,84,nan,0
LeBron James,45:15,9,16,.563,4,5,.800,2,2,1.000,0,9,9,5,1,0,1,4,24,+9,1
Chris Bosh,38:55,5,18,.278,0,0,nan,9,12,.750,5,4,9,3,0,1,0,3,19,+11,1
Dwyane Wade,38:05,9,19,.474,2,4,.500,2,5,.400,3,7,10,6,0,2,3,1,22,+7,1
Joel Anthony,17:52,0,1,.000,0,0,nan,0,0,nan,1,2,3,0,0,1,1,2,0,-5,1
Mike Bibby,14:06,0,4,.000,0,4,.000,0,0,nan,0,0,0,3,2,0,0,1,0,-2,1
Udonis Haslem,29:34,3,8,.375,0,0,nan,1,1,1.000,1,5,6,1,1,0,2,5,7,+7,1
Mario Chalmers,28:24,3,8,.375,3,7,.429,3,4,.750,1,0,1,1,1,0,2,1,12,+8,1
Mike Miller,20:12,2,5,.400,2,4,.500,0,0,nan,2,3,5,1,0,0,1,4,6,+2,1
Juwan Howard,7:37,0,1,.000,0,0,nan,2,2,1.000,3,0,3,0,0,0,0,0,2,+3,1
240,25,67,.373,9,22,.409,25,32,.781,6,30,36,18,6,8,11,22,84,nan,240,1
