Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Chris Bosh,44:29,9,14,.643,0,0,nan,5,6,.833,2,6,8,2,1,0,3,5,23,-6,0
LeBron James,42:25,7,20,.350,2,4,.500,3,3,1.000,3,8,11,8,1,1,6,0,19,0,0
Dwyane Wade,38:25,12,22,.545,2,3,.667,2,2,1.000,0,6,6,5,2,2,1,3,28,+2,0
Mario Chalmers,31:33,4,13,.308,2,8,.250,0,0,nan,0,2,2,2,2,0,2,5,10,-10,0
Joel Anthony,17:28,1,1,1.000,0,0,nan,0,0,nan,2,0,2,0,3,2,1,4,2,+3,0
Shane Battier,28:49,1,5,.200,0,4,.000,0,0,nan,1,3,4,3,2,0,1,6,2,-10,0
Udonis Haslem,22:45,2,5,.400,0,0,nan,0,0,nan,0,3,3,0,1,0,1,1,4,-21,0
Norris Cole,18:06,1,6,.167,0,1,.000,0,0,nan,0,0,0,1,2,0,1,4,2,+6,0
James Jones,15:49,3,5,.600,2,3,.667,0,0,nan,0,0,0,0,1,1,0,1,8,+10,0
Dexter Pittman,5:11,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,-4,0
Team Totals,265,40,91,.440,8,23,.348,10,11,.909,8,28,36,21,15,6,16,30,98,nan,0
Dwight Howard,46:53,9,13,.692,0,0,nan,6,18,.333,4,21,25,1,3,2,2,1,24,+5,1
J.J. Redick,43:23,4,10,.400,3,8,.375,6,7,.857,0,1,1,3,2,0,3,2,17,+26,1
Ryan Anderson,40:16,6,11,.545,2,5,.400,2,3,.667,7,5,12,2,2,0,4,0,16,-1,1
Jameer Nelson,37:57,10,16,.625,4,7,.571,1,2,.500,0,1,1,4,2,0,4,1,25,-3,1
Hedo Turkoglu,37:52,3,8,.375,1,3,.333,0,0,nan,0,6,6,5,2,0,6,4,7,+15,1
Quentin Richardson,19:20,2,4,.500,1,2,.500,4,5,.800,0,0,0,1,0,0,0,3,9,-16,1
Glen Davis,17:52,2,7,.286,0,0,nan,2,2,1.000,0,1,1,1,1,0,0,1,6,+9,1
Chris Duhon,15:03,0,2,.000,0,2,.000,0,0,nan,0,0,0,2,1,0,2,3,0,+9,1
DeAndre Liggins,6:01,0,2,.000,0,1,.000,0,0,nan,0,0,0,0,1,0,1,0,0,-14,1
Justin Harper,0:23,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
265,40,91,.440,8,23,.348,10,11,.909,8,28,36,21,15,6,16,30,98,nan,265,1
