Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Carmelo Anthony,48:01,13,28,.464,1,4,.250,13,16,.813,2,4,6,7,1,2,1,4,40,+8,0
Kenyon Martin,44:53,8,18,.444,0,0,nan,2,2,1.000,4,13,17,1,2,1,1,5,18,+6,0
Chauncey Billups,43:03,7,20,.350,2,7,.286,2,2,1.000,1,0,1,8,0,0,1,4,18,-2,0
Nene Hilario,38:03,4,10,.400,0,0,nan,0,0,nan,3,6,9,4,0,1,0,6,8,-8,0
Arron Afflalo,23:41,5,6,.833,1,2,.500,0,0,nan,3,0,3,1,0,0,0,1,11,-3,0
J.R. Smith,29:42,6,12,.500,1,3,.333,1,2,.500,0,3,3,2,1,1,1,2,14,+7,0
Chris Andersen,22:33,2,4,.500,0,0,nan,3,4,.750,2,6,8,1,1,3,0,2,7,+4,0
Ty Lawson,15:00,1,2,.500,0,0,nan,0,0,nan,1,0,1,1,2,0,1,2,2,-2,0
Malik Allen,0:04,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0
Joey Graham,0:00,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,nan,0
Team Totals,265,46,100,.460,5,16,.313,21,26,.808,16,32,48,25,7,8,5,26,118,nan,0
LeBron James,47:00,15,33,.455,1,9,.111,12,17,.706,1,12,13,15,2,4,3,1,43,-5,1
Anthony Parker,30:19,4,8,.500,2,5,.400,3,5,.600,1,3,4,2,0,0,0,3,13,+15,1
Shaquille O'Neal,30:18,9,15,.600,0,0,nan,0,6,.000,0,7,7,0,0,1,1,5,18,+3,1
Daniel Gibson,30:00,3,4,.750,1,2,.500,1,3,.333,2,1,3,1,0,1,0,0,8,-1,1
J.J. Hickson,29:38,5,7,.714,0,0,nan,4,5,.800,0,2,2,2,0,0,2,2,14,0,1
Anderson Varejao,35:08,3,6,.500,0,1,.000,0,0,nan,4,5,9,2,1,3,3,5,6,-5,1
Delonte West,28:27,1,5,.200,0,1,.000,1,2,.500,0,3,3,1,1,0,1,2,3,-4,1
Mo Williams,18:06,2,5,.400,2,3,.667,2,2,1.000,0,1,1,3,0,0,0,0,8,-5,1
Jawad Williams,16:04,1,3,.333,1,2,.500,0,0,nan,1,1,2,0,0,0,0,3,3,-8,1
265,46,100,.460,5,16,.313,21,26,.808,16,32,48,25,7,8,5,26,118,nan,265,1
