Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Darius Miles,41:00,5,12,.417,0,2,.000,2,2,1.000,1,5,6,3,2,2,3,4,12,-12,0
LeBron James,40:00,10,18,.556,2,4,.500,6,8,.750,2,5,7,8,2,1,4,2,28,-5,0
Zydrunas Ilgauskas,37:00,4,8,.500,0,0,nan,1,2,.500,2,5,7,2,0,4,2,4,9,-7,0
Ricky Davis,21:00,6,13,.462,0,0,nan,1,2,.500,0,2,2,0,0,0,2,0,13,-13,0
DeSagana Diop,17:00,1,1,1.000,0,0,nan,0,0,nan,1,5,6,0,1,1,0,5,2,-1,0
Chris Mihm,28:00,4,11,.364,0,0,nan,5,6,.833,5,7,12,1,1,0,3,4,13,-3,0
Kevin Ollie,21:00,3,6,.500,0,0,nan,6,7,.857,0,2,2,8,0,0,0,1,12,+12,0
J.R. Bremer,19:00,1,4,.250,0,1,.000,0,0,nan,0,0,0,0,1,0,2,1,2,-15,0
Ira Newble,11:00,1,2,.500,0,1,.000,0,0,nan,0,0,0,0,0,0,0,1,2,-8,0
Bruno Sundov,5:00,1,2,.500,0,0,nan,0,0,nan,0,1,1,0,0,0,0,1,2,-3,0
Team Totals,240,36,77,.468,2,8,.250,21,27,.778,11,32,43,22,7,8,16,23,95,nan,0
Gilbert Arenas,38:00,8,18,.444,4,8,.500,5,7,.714,1,4,5,4,3,0,5,1,25,+4,1
Jarvis Hayes,36:00,2,14,.143,0,3,.000,2,2,1.000,1,1,2,6,4,0,1,1,6,+27,1
Larry Hughes,33:00,8,21,.381,3,6,.500,3,3,1.000,5,3,8,2,1,0,1,2,22,+7,1
Kwame Brown,32:00,6,11,.545,0,0,nan,3,4,.750,6,4,10,1,0,0,2,2,15,+1,1
Brendan Haywood,19:00,2,4,.500,0,0,nan,4,5,.800,1,4,5,0,0,2,0,3,8,+16,1
Etan Thomas,29:00,6,9,.667,0,0,nan,6,8,.750,7,3,10,1,0,1,2,4,18,-5,1
Jared Jeffries,28:00,3,8,.375,0,0,nan,1,2,.500,1,2,3,1,1,2,1,2,7,-4,1
Juan Dixon,15:00,2,7,.286,1,2,.500,0,0,nan,0,1,1,0,0,0,0,0,5,+2,1
Steve Blake,10:00,0,3,.000,0,0,nan,0,0,nan,1,1,2,3,0,0,0,2,0,+7,1
240,36,77,.468,2,8,.250,21,27,.778,11,32,43,22,7,8,16,23,95,nan,240,1
