Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Paul Pierce,41:55,9,21,.429,1,3,.333,2,3,.667,1,10,11,7,2,0,1,3,21,+33,0
Ray Allen,38:05,8,13,.615,6,9,.667,3,3,1.000,1,2,3,4,1,0,0,2,25,+23,0
Rajon Rondo,37:46,7,12,.583,1,1,1.000,1,3,.333,0,2,2,7,1,0,2,4,16,+12,0
Kevin Garnett,32:16,8,14,.571,0,0,nan,2,2,1.000,0,6,6,1,0,2,3,2,18,+28,0
Kendrick Perkins,24:16,2,4,.500,0,0,nan,6,9,.667,2,5,7,1,0,2,1,5,10,+17,0
Glen Davis,20:38,4,7,.571,0,0,nan,7,10,.700,3,1,4,1,1,0,0,4,15,+5,0
Tony Allen,20:34,2,4,.500,0,1,.000,2,2,1.000,2,1,3,2,1,0,2,2,6,+14,0
Rasheed Wallace,13:20,0,1,.000,0,1,.000,0,0,nan,0,3,3,0,0,0,1,5,0,+7,0
Shelden Williams,4:22,2,2,1.000,0,0,nan,1,2,.500,0,0,0,0,0,0,0,1,5,+5,0
Nate Robinson,2:54,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,0,+7,0
Marquis Daniels,2:50,2,2,1.000,0,0,nan,0,0,nan,0,1,1,1,0,0,0,0,4,+7,0
Michael Finley,1:05,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,0
Team Totals,240,44,80,.550,8,15,.533,24,34,.706,9,32,41,25,6,4,10,28,120,nan,0
LeBron James,41:40,3,14,.214,0,4,.000,9,12,.750,1,5,6,7,1,0,3,3,15,-22,1
Anthony Parker,39:55,5,9,.556,2,5,.400,2,2,1.000,1,1,2,1,0,0,2,2,14,-30,1
Mo Williams,34:08,3,8,.375,1,2,.500,2,2,1.000,0,1,1,5,0,0,2,5,9,-27,1
Antawn Jamison,31:24,4,10,.400,1,2,.500,0,0,nan,1,5,6,1,0,1,3,4,9,-33,1
Shaquille O'Neal,26:31,7,11,.636,0,0,nan,7,10,.700,1,3,4,2,1,4,2,3,21,-26,1
Anderson Varejao,16:50,1,3,.333,0,0,nan,3,3,1.000,2,6,8,2,1,1,1,4,5,+1,1
Zydrunas Ilgauskas,14:21,2,5,.400,0,0,nan,1,1,1.000,1,2,3,0,0,4,1,2,5,+9,1
Daniel Gibson,12:23,1,3,.333,1,2,.500,0,0,nan,0,1,1,1,0,0,1,1,3,-14,1
Delonte West,9:10,1,3,.333,0,0,nan,0,0,nan,0,0,0,1,1,0,1,1,2,+5,1
Jamario Moon,6:49,1,1,1.000,0,0,nan,2,2,1.000,0,0,0,0,1,0,0,1,4,-8,1
J.J. Hickson,4:00,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,2,0,-8,1
Leon Powe,2:50,0,1,.000,0,0,nan,1,2,.500,0,0,0,0,0,0,1,2,1,-7,1
240,44,80,.550,8,15,.533,24,34,.706,9,32,41,25,6,4,10,28,120,nan,240,1
