Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,46:59,16,30,.533,4,11,.364,15,17,.882,0,4,4,9,2,3,3,2,51,+6,0
Anderson Varejao,39:45,8,8,1.000,0,0,nan,2,5,.400,5,7,12,0,1,0,2,1,18,-1,0
Mo Williams,38:22,3,14,.214,0,4,.000,4,4,1.000,0,3,3,4,0,0,1,5,10,-16,0
Sasha Pavlovic,31:04,3,10,.300,2,6,.333,0,2,.000,1,2,3,1,2,0,1,6,8,+12,0
Zydrunas Ilgauskas,20:26,4,9,.444,0,0,nan,1,3,.333,4,3,7,0,0,2,2,3,9,-25,0
Daniel Gibson,30:59,2,4,.500,2,4,.500,3,4,.750,0,1,1,1,1,0,0,2,9,+24,0
Wally Szczerbiak,26:38,4,6,.667,1,2,.500,3,4,.750,1,5,6,1,1,0,0,0,12,+14,0
Joe Smith,22:29,0,2,.000,0,0,nan,2,2,1.000,0,3,3,2,2,0,2,3,2,+5,0
Tarence Kinsey,8:18,3,3,1.000,1,1,1.000,0,0,nan,1,0,1,0,0,0,0,1,7,-4,0
Team Totals,265,43,86,.500,10,28,.357,30,41,.732,12,28,40,18,9,5,11,23,126,nan,0
Kevin Martin,43:37,9,21,.429,3,8,.375,13,14,.929,0,6,6,2,1,0,4,3,34,-2,1
Spencer Hawes,42:23,5,9,.556,1,2,.500,0,0,nan,3,1,4,4,1,0,3,6,11,-16,1
Andres Nocioni,40:26,5,9,.556,1,2,.500,1,2,.500,0,9,9,1,0,1,1,5,12,+9,1
Jason Thompson,32:36,6,12,.500,0,1,.000,7,8,.875,2,4,6,3,0,1,0,4,19,+27,1
Bobby Jackson,27:55,7,11,.636,2,6,.333,3,4,.750,3,3,6,2,1,0,2,0,19,+6,1
Will Solomon,23:35,6,9,.667,5,8,.625,1,2,.500,1,4,5,1,1,0,1,1,18,-5,1
Francisco Garcia,23:04,1,4,.250,1,3,.333,0,0,nan,1,2,3,2,0,0,1,6,3,-12,1
Donte Greene,19:08,1,4,.250,0,1,.000,0,0,nan,2,3,5,2,0,0,2,4,2,-20,1
Rashad McCants,12:16,2,8,.250,1,3,.333,0,0,nan,1,1,2,1,0,0,1,1,5,-2,1
265,43,86,.500,10,28,.357,30,41,.732,12,28,40,18,9,5,11,23,126,nan,265,1
