Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jimmy Butler,46:28,14,21,.667,4,5,.800,3,3,1.000,0,5,5,6,2,0,2,2,35,+1,0
Andrew Wiggins,39:51,7,13,.538,4,8,.500,1,2,.500,0,2,2,1,0,0,2,3,19,+7,0
Jeff Teague,38:41,6,12,.500,2,4,.500,0,0,nan,0,3,3,15,1,0,1,4,14,+2,0
Karl-Anthony Towns,36:56,10,12,.833,6,6,1.000,4,4,1.000,1,9,10,1,1,2,3,2,30,+1,0
Taj Gibson,35:08,4,8,.500,0,0,nan,1,1,1.000,2,3,5,2,0,2,0,1,9,+4,0
Jamal Crawford,20:04,7,13,.538,2,5,.400,0,0,nan,0,0,0,0,0,0,1,1,16,-12,0
Nemanja Bjelica,17:29,2,5,.400,1,4,.250,0,0,nan,0,6,6,2,0,0,0,2,5,-6,0
Gorgui Dieng,16:04,4,7,.571,0,0,nan,2,2,1.000,1,3,4,1,1,0,2,3,10,-3,0
Tyus Jones,14:19,0,2,.000,0,1,.000,0,0,nan,0,0,0,5,2,0,0,1,0,-4,0
Aaron Brooks,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Shabazz Muhammad,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Cole Aldrich,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,265,54,93,.581,19,33,.576,11,12,.917,4,31,35,33,7,4,11,19,138,nan,0
LeBron James,48:19,16,22,.727,5,7,.714,0,2,.000,1,9,10,15,1,1,5,3,37,-1,1
J.R. Smith,36:05,7,14,.500,6,11,.545,0,0,nan,0,3,3,1,0,0,0,2,20,0,1
Isaiah Thomas,31:17,4,8,.500,3,5,.600,2,2,1.000,0,3,3,7,0,0,3,1,13,-6,1
Tristan Thompson,28:56,7,9,.778,0,0,nan,3,5,.600,2,3,5,2,1,0,0,1,17,-4,1
Jae Crowder,23:37,3,5,.600,1,2,.500,3,4,.750,0,2,2,2,1,0,0,4,10,-2,1
Jeff Green,29:16,4,6,.667,0,0,nan,5,6,.833,1,5,6,2,0,0,2,3,13,+6,1
Cedi Osman,21:27,3,5,.600,2,4,.500,1,2,.500,1,3,4,0,1,0,2,3,9,+7,1
Channing Frye,19:51,2,9,.222,0,6,.000,0,0,nan,1,5,6,0,1,0,2,1,4,0,1
Kyle Korver,18:46,5,7,.714,4,6,.667,0,0,nan,1,1,2,1,0,0,1,3,14,+7,1
Derrick Rose,7:26,1,3,.333,0,0,nan,1,2,.500,0,0,0,3,0,0,0,0,3,+3,1
Jose Calderon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
John Holland,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ante Zizic,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
265,54,93,.581,19,33,.576,11,12,.917,4,31,35,33,7,4,11,19,138,nan,265,1
