Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,37:36,14,22,.636,3,3,1.000,4,5,.800,2,8,10,3,2,0,4,3,35,+11,0
Chris Bosh,36:12,6,11,.545,1,2,.500,5,6,.833,1,2,3,2,1,1,0,2,18,-11,0
Dwyane Wade,33:57,5,9,.556,0,0,nan,4,4,1.000,0,7,7,4,1,0,5,1,14,-8,0
Mario Chalmers,31:13,2,4,.500,0,1,.000,1,2,.500,0,3,3,4,0,0,1,3,5,+5,0
Rashard Lewis,25:34,5,9,.556,3,7,.429,1,2,.500,0,1,1,1,0,1,0,3,14,+8,0
Ray Allen,33:07,4,7,.571,1,3,.333,0,0,nan,2,1,3,1,2,1,0,1,9,+9,0
Chris Andersen,24:08,1,4,.250,0,0,nan,1,2,.500,0,9,9,0,0,0,2,3,3,-1,0
Norris Cole,10:38,0,2,.000,0,1,.000,0,0,nan,0,2,2,1,0,0,1,2,0,-3,0
James Jones,6:49,0,2,.000,0,2,.000,0,0,nan,0,0,0,0,0,0,0,1,0,+3,0
Udonis Haslem,0:46,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,-3,0
Shane Battier,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Greg Oden,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Toney Douglas,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,37,70,.529,8,19,.421,16,21,.762,5,33,38,16,6,3,13,20,98,nan,0
Tim Duncan,37:56,7,14,.500,0,0,nan,4,8,.500,7,8,15,1,0,1,3,2,18,+2,1
Tony Parker,35:12,8,15,.533,2,4,.500,3,6,.500,0,0,0,7,1,0,1,1,21,-1,1
Kawhi Leonard,31:32,3,9,.333,2,3,.667,1,2,.500,0,2,2,3,1,0,0,6,9,-6,1
Tiago Splitter,19:07,1,3,.333,0,0,nan,0,0,nan,1,5,6,5,1,0,1,3,2,+1,1
Danny Green,17:50,3,5,.600,2,3,.667,1,1,1.000,0,1,1,0,1,0,0,3,9,0,1
Boris Diaw,32:02,3,9,.333,1,2,.500,0,0,nan,3,7,10,5,1,0,1,0,7,-5,1
Manu Ginobili,27:43,7,15,.467,2,7,.286,3,3,1.000,0,2,2,4,1,0,3,3,19,+4,1
Marco Belinelli,22:24,1,5,.200,1,4,.250,0,0,nan,0,1,1,1,1,0,2,0,3,-7,1
Patty Mills,15:11,3,7,.429,2,3,.667,0,0,nan,0,0,0,0,0,0,0,1,8,-1,1
Matt Bonner,1:03,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,+3,1
Jeff Ayres,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Cory Joseph,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Aron Baynes,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,37,70,.529,8,19,.421,16,21,.762,5,33,38,16,6,3,13,20,98,nan,240,1
