Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,36:07,5,16,.313,0,5,.000,5,6,.833,0,7,7,9,0,2,7,1,15,-32,0
Kevin Love,30:31,5,14,.357,1,4,.250,6,6,1.000,2,6,8,3,0,0,1,3,17,-13,0
J.R. Smith,28:38,2,9,.222,0,3,.000,0,0,nan,0,1,1,1,1,0,0,1,4,-17,0
George Hill,28:18,2,4,.500,1,2,.500,0,0,nan,0,0,0,0,0,0,0,1,5,-15,0
Kyle Korver,23:27,2,6,.333,1,5,.200,0,0,nan,1,4,5,0,1,1,0,1,5,-10,0
Tristan Thompson,20:43,4,6,.667,0,0,nan,0,0,nan,4,7,11,1,0,0,1,0,8,-12,0
Jeff Green,19:45,1,3,.333,0,1,.000,4,4,1.000,1,0,1,1,0,0,0,1,6,-5,0
Rodney Hood,18:55,5,12,.417,0,2,.000,1,1,1.000,0,0,0,2,0,0,0,3,11,-8,0
Jordan Clarkson,15:49,4,11,.364,1,2,.500,1,1,1.000,1,2,3,0,1,0,0,0,10,-7,0
Cedi Osman,7:09,0,3,.000,0,1,.000,0,0,nan,0,2,2,0,1,0,0,0,0,+3,0
Jose Calderon,3:53,1,2,.500,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,2,-3,0
Larry Nance,3:53,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,-3,0
Ante Zizic,2:52,0,0,nan,0,0,nan,0,2,.000,0,2,2,1,0,0,0,0,0,-3,0
Team Totals,240,31,86,.360,4,26,.154,17,20,.850,9,31,40,18,4,3,9,12,83,nan,0
Jayson Tatum,37:00,6,11,.545,2,5,.400,2,2,1.000,1,5,6,3,2,0,2,3,16,+27,1
Terry Rozier,34:23,4,10,.400,0,3,.000,0,0,nan,0,6,6,8,0,0,1,0,8,+14,1
Marcus Morris,34:03,7,12,.583,3,4,.750,4,5,.800,1,9,10,0,0,0,1,3,21,+25,1
Jaylen Brown,28:02,9,16,.563,3,5,.600,2,2,1.000,1,7,8,1,1,1,2,2,23,+14,1
Al Horford,27:24,8,10,.800,2,4,.500,2,3,.667,2,2,4,6,0,2,0,1,20,+17,1
Aron Baynes,25:03,2,5,.400,0,0,nan,0,0,nan,0,8,8,2,2,1,0,2,4,+17,1
Marcus Smart,24:51,4,12,.333,1,5,.200,0,0,nan,0,3,3,6,1,0,2,2,9,+16,1
Semi Ojeleye,15:29,1,4,.250,0,3,.000,1,1,1.000,0,1,1,0,0,0,0,2,3,-2,1
Abdel Nader,4:35,1,3,.333,0,1,.000,0,0,nan,0,0,0,0,0,0,1,1,2,-1,1
Greg Monroe,4:35,1,1,1.000,0,0,nan,0,0,nan,1,1,2,1,0,0,0,1,2,-1,1
Guerschon Yabusele,4:35,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-1,1
Shane Larkin,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,31,86,.360,4,26,.154,17,20,.850,9,31,40,18,4,3,9,12,83,nan,240,1
