Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,36:27,7,16,.438,1,4,.250,13,15,.867,1,8,9,7,1,2,1,0,28,+10,0
Anthony Parker,33:49,1,6,.167,1,2,.500,3,3,1.000,1,3,4,2,1,0,0,3,6,+5,0
Mo Williams,32:02,7,14,.500,1,5,.200,3,5,.600,1,1,2,3,0,0,3,5,18,+4,0
Shaquille O'Neal,26:20,4,11,.364,0,0,nan,4,7,.571,3,6,9,1,0,1,3,3,12,+4,0
J.J. Hickson,14:51,2,9,.222,0,0,nan,0,0,nan,3,3,6,0,0,1,1,2,4,-7,0
Anderson Varejao,33:39,7,13,.538,0,0,nan,1,1,1.000,4,8,12,2,0,1,2,5,15,+14,0
Zydrunas Ilgauskas,18:03,2,3,.667,0,0,nan,2,2,1.000,1,3,4,0,1,0,1,3,6,+11,0
Delonte West,17:49,1,4,.250,0,1,.000,0,0,nan,1,0,1,2,1,0,1,1,2,-1,0
Daniel Gibson,15:42,1,3,.333,1,2,.500,0,0,nan,1,0,1,2,0,0,0,1,3,+5,0
Jamario Moon,9:03,0,1,.000,0,0,nan,0,0,nan,0,3,3,0,0,0,0,1,0,+1,0
Jawad Williams,1:08,0,1,.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-3,0
Darnell Jackson,1:08,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,-3,0
Team Totals,240,32,81,.395,4,14,.286,26,33,.788,16,36,52,19,4,5,12,24,94,nan,0
Yi Jianlian,41:26,2,13,.154,1,2,.500,6,8,.750,2,6,8,1,1,3,1,4,11,-8,1
Chris Douglas-Roberts,41:06,8,14,.571,0,1,.000,0,0,nan,1,2,3,1,2,0,1,3,16,+2,1
Devin Harris,39:44,7,13,.538,1,2,.500,7,8,.875,1,4,5,6,1,0,3,4,22,-8,1
Brook Lopez,36:43,6,13,.462,0,0,nan,8,10,.800,1,6,7,4,1,0,3,5,20,-1,1
Courtney Lee,30:15,3,9,.333,0,2,.000,3,4,.750,2,4,6,1,0,0,1,1,9,-10,1
Keyon Dooling,17:24,1,6,.167,1,3,.333,0,0,nan,0,1,1,2,0,0,1,1,3,+5,1
Trenton Hassell,10:40,0,1,.000,0,0,nan,0,0,nan,0,3,3,0,0,0,0,2,0,-7,1
Tony Battie,8:34,1,3,.333,0,0,nan,1,2,.500,0,2,2,0,0,0,1,2,3,-8,1
Josh Boone,8:31,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,0,+1,1
Terrence Williams,5:37,1,2,.500,0,0,nan,0,0,nan,0,2,2,0,1,0,0,2,2,-6,1
240,32,81,.395,4,14,.286,26,33,.788,16,36,52,19,4,5,12,24,94,nan,240,1
