Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Robert Covington,34:11,6,13,.462,4,8,.500,2,3,.667,2,1,3,4,7,1,2,4,18,-16,0
Nerlens Noel,32:30,2,5,.400,0,0,nan,0,0,nan,0,4,4,2,2,3,3,3,4,-9,0
Luc Mbah a Moute,31:37,6,14,.429,1,4,.250,0,0,nan,2,3,5,3,0,1,2,2,13,-13,0
Michael Carter-Williams,19:42,1,9,.111,0,2,.000,0,0,nan,0,4,4,5,1,0,1,0,2,-14,0
JaKarr Sampson,18:09,4,5,.800,2,2,1.000,0,0,nan,0,0,0,1,2,1,3,2,10,+2,0
Jerami Grant,26:00,5,7,.714,3,5,.600,5,7,.714,3,4,7,2,0,0,3,3,18,-4,0
Larry Drew,24:11,2,7,.286,0,4,.000,0,0,nan,0,1,1,5,2,0,4,2,4,0,0
K.J. McDaniels,23:38,1,7,.143,0,4,.000,1,2,.500,0,2,2,0,0,1,2,1,3,-5,0
Hollis Thompson,19:11,3,7,.429,2,4,.500,2,2,1.000,4,3,7,0,2,0,1,3,10,-9,0
Henry Sims,10:51,1,4,.250,0,0,nan,0,0,nan,0,4,4,1,0,0,0,2,2,+3,0
Malcolm Thomas,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Furkan Aldemir,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,31,78,.397,12,33,.364,10,14,.714,11,26,37,23,16,7,21,22,84,nan,0
Kyrie Irving,38:59,9,16,.563,3,8,.375,3,4,.750,1,4,5,5,0,0,5,1,24,+22,1
LeBron James,35:51,6,17,.353,1,4,.250,5,6,.833,0,3,3,11,2,0,6,2,18,+19,1
Kevin Love,32:44,1,7,.143,1,2,.500,2,2,1.000,3,12,15,2,1,1,1,1,5,+26,1
Timofey Mozgov,26:40,4,11,.364,0,0,nan,2,2,1.000,3,5,8,0,1,5,0,3,10,+3,1
J.R. Smith,25:32,5,10,.500,2,6,.333,0,0,nan,0,2,2,1,0,0,2,1,12,+5,1
Matthew Dellavedova,22:10,4,7,.571,3,4,.750,1,2,.500,0,1,1,2,1,0,2,5,12,-2,1
Iman Shumpert,22:04,4,4,1.000,2,2,1.000,1,2,.500,0,2,2,0,2,0,1,3,11,-7,1
Tristan Thompson,21:20,1,4,.250,0,0,nan,1,2,.500,4,3,7,0,0,0,0,0,3,+10,1
Shawn Marion,8:24,1,1,1.000,0,0,nan,0,2,.000,0,0,0,1,1,0,0,1,2,-11,1
Mike Miller,5:18,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,1,0,0,0,1
Joe Harris,0:58,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,31,78,.397,12,33,.364,10,14,.714,11,26,37,23,16,7,21,22,84,nan,240,1
