Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,40:51,16,27,.593,3,8,.375,6,9,.667,0,4,4,7,0,1,3,4,41,+10,0
Kyrie Irving,40:32,8,16,.500,3,7,.429,8,9,.889,2,2,4,5,3,1,0,1,27,+5,0
Kevin Love,37:07,2,10,.200,0,3,.000,8,12,.667,3,12,15,4,0,1,1,4,12,+2,0
Anderson Varejao,27:57,7,10,.700,0,0,nan,2,2,1.000,2,0,2,3,0,1,0,3,16,+2,0
Shawn Marion,27:02,3,4,.750,0,1,.000,0,0,nan,0,4,4,1,1,1,1,0,6,0,0
Tristan Thompson,19:35,2,7,.286,0,0,nan,0,0,nan,1,3,4,0,0,0,1,2,4,-9,0
Joe Harris,19:12,1,2,.500,1,2,.500,3,3,1.000,0,2,2,0,0,0,2,3,6,+24,0
Dion Waiters,17:22,4,8,.500,1,1,1.000,1,2,.500,0,3,3,1,1,0,1,2,10,-14,0
Mike Miller,10:22,0,1,.000,0,1,.000,0,0,nan,0,2,2,1,0,0,2,2,0,-15,0
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Will Cherry,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Lou Amundson,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,43,85,.506,8,23,.348,28,37,.757,8,32,40,22,5,5,11,21,122,nan,0
Jeff Green,35:58,5,12,.417,1,6,.167,8,10,.800,1,2,3,1,1,0,2,1,19,-3,1
Avery Bradley,35:40,6,10,.600,0,2,.000,0,0,nan,1,4,5,2,0,0,2,3,12,-10,1
Rajon Rondo,31:15,3,10,.300,0,0,nan,0,0,nan,0,8,8,16,3,0,3,4,6,-1,1
Kelly Olynyk,31:10,8,13,.615,2,5,.400,3,4,.750,2,4,6,1,2,1,1,4,21,+9,1
Jared Sullinger,27:55,7,13,.538,1,2,.500,4,5,.800,3,7,10,3,0,0,2,1,19,-5,1
Evan Turner,26:17,5,9,.556,0,2,.000,2,2,1.000,0,3,3,5,0,0,3,3,12,-3,1
Brandon Bass,18:36,5,8,.625,0,0,nan,2,2,1.000,0,2,2,2,1,0,0,3,12,+5,1
Marcus Thornton,18:09,5,8,.625,2,3,.667,0,0,nan,1,1,2,1,0,0,0,3,12,+6,1
Tyler Zeller,14:58,4,5,.800,0,0,nan,0,0,nan,0,0,0,1,0,0,1,4,8,-3,1
Dwight Powell,0:02,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
James Young,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Phil Pressey,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Gerald Wallace,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,43,85,.506,8,23,.348,28,37,.757,8,32,40,22,5,5,11,21,122,nan,240,1
