Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,46:00,13,25,.520,3,5,.600,11,14,.786,1,8,9,7,1,0,1,2,40,+8,0
Jeff McInnis,36:00,6,12,.500,2,3,.667,6,6,1.000,0,0,0,5,1,0,3,1,20,+9,0
Zydrunas Ilgauskas,28:00,7,13,.538,0,0,nan,6,6,1.000,5,3,8,3,0,2,4,3,20,+5,0
Drew Gooden,27:00,4,9,.444,0,0,nan,3,4,.750,3,3,6,2,3,0,2,4,11,+5,0
Ira Newble,23:00,2,4,.500,0,1,.000,2,2,1.000,0,3,3,0,0,0,0,2,6,+3,0
Eric Snow,27:00,2,3,.667,0,0,nan,2,2,1.000,0,0,0,1,1,0,2,3,6,+7,0
Anderson Varejao,20:00,3,6,.500,0,0,nan,0,0,nan,4,3,7,0,2,1,1,5,6,+2,0
Robert Traylor,20:00,1,6,.167,0,0,nan,0,0,nan,0,4,4,1,1,1,0,2,2,+4,0
Lucious Harris,13:00,0,2,.000,0,0,nan,0,0,nan,0,1,1,0,1,0,0,1,0,+2,0
Team Totals,240,38,80,.475,5,9,.556,30,34,.882,13,25,38,19,10,4,13,23,111,nan,0
Al Harrington,42:00,11,16,.688,0,1,.000,9,11,.818,1,5,6,4,2,0,5,4,31,-8,1
Antoine Walker,42:00,8,16,.500,1,4,.250,0,2,.000,1,8,9,5,3,2,7,4,17,-15,1
Josh Smith,20:00,2,5,.400,0,0,nan,0,0,nan,2,0,2,2,0,2,0,0,4,-4,1
Jason Collier,14:00,4,5,.800,0,0,nan,1,2,.500,0,0,0,0,0,0,1,3,9,-19,1
Royal Ivey,11:00,1,4,.250,0,0,nan,0,0,nan,1,1,2,2,2,1,1,4,2,-2,1
Tyronn Lue,30:00,2,5,.400,0,1,.000,4,6,.667,0,2,2,6,0,0,3,4,8,-6,1
Josh Childress,29:00,3,7,.429,0,0,nan,2,2,1.000,3,2,5,0,0,0,1,2,8,+4,1
Tony Delk,19:00,5,9,.556,3,6,.500,0,0,nan,0,3,3,0,1,0,0,1,13,-7,1
Predrag Drobnjak,19:00,4,9,.444,0,0,nan,0,0,nan,1,2,3,0,1,2,0,1,8,+11,1
Kevin Willis,10:00,0,1,.000,0,0,nan,0,0,nan,0,1,1,1,0,0,0,2,0,+4,1
Kenny Anderson,4:00,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,1,0,0,0,2,-3,1
240,38,80,.475,5,9,.556,30,34,.882,13,25,38,19,10,4,13,23,111,nan,240,1
