Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Josh Smith,34:11,4,12,.333,2,2,1.000,1,2,.500,1,3,4,1,0,0,2,4,11,-18,0
Marvin Williams,31:59,2,9,.222,1,4,.250,0,0,nan,0,4,4,2,1,0,1,0,5,-5,0
Mike Bibby,31:04,4,10,.400,2,4,.500,0,0,nan,0,5,5,6,0,0,2,1,10,-12,0
Al Horford,30:31,10,11,.909,0,0,nan,2,4,.500,2,7,9,1,1,0,2,4,22,-7,0
Maurice Evans,25:59,1,6,.167,0,2,.000,2,2,1.000,1,0,1,1,1,0,0,2,4,-4,0
Jamal Crawford,30:50,6,16,.375,0,5,.000,0,0,nan,0,3,3,3,0,0,2,1,12,-11,0
Josh Powell,21:19,5,10,.500,0,0,nan,2,2,1.000,3,3,6,0,0,0,2,2,12,-1,0
Damien Wilkins,13:14,0,2,.000,0,0,nan,0,0,nan,0,2,2,0,1,0,0,1,0,-1,0
Jeff Teague,10:54,0,1,.000,0,0,nan,0,0,nan,0,0,0,2,1,0,0,1,0,-3,0
Zaza Pachulia,5:22,0,3,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,0,-1,0
Jason Collins,4:37,0,0,nan,0,0,nan,1,2,.500,1,2,3,0,0,0,0,1,1,+3,0
Team Totals,240,32,80,.400,5,17,.294,8,12,.667,9,29,38,16,5,0,11,17,77,nan,0
Chris Bosh,39:46,12,22,.545,0,0,nan,3,4,.750,4,6,10,1,0,0,2,2,27,+14,1
Dwyane Wade,39:46,11,18,.611,0,1,.000,4,6,.667,2,8,10,3,3,3,4,2,26,+14,1
LeBron James,37:19,5,11,.455,1,1,1.000,11,13,.846,0,7,7,4,1,1,2,1,22,+7,1
Carlos Arroyo,21:01,1,4,.250,0,1,.000,0,0,nan,0,0,0,2,1,0,0,0,2,-2,1
Zydrunas Ilgauskas,16:08,0,4,.000,0,0,nan,0,0,nan,0,2,2,0,0,1,0,3,0,+5,1
Mario Chalmers,26:59,4,10,.400,1,3,.333,0,0,nan,0,5,5,4,1,0,1,2,9,+14,1
Joel Anthony,21:47,0,0,nan,0,0,nan,0,0,nan,0,4,4,0,0,2,0,4,0,+8,1
James Jones,18:55,1,2,.500,1,2,.500,0,0,nan,0,3,3,0,0,0,0,1,3,+3,1
Erick Dampier,11:32,0,0,nan,0,0,nan,0,0,nan,0,1,1,1,0,1,0,1,0,+3,1
Juwan Howard,6:47,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,1,1,0,0,0,-6,1
240,32,80,.400,5,17,.294,8,12,.667,9,29,38,16,5,0,11,17,77,nan,240,1
