Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,37:57,10,23,.435,2,6,.333,6,10,.600,2,7,9,7,0,1,5,0,28,-10,0
Jae Crowder,31:37,4,6,.667,3,4,.750,2,2,1.000,0,4,4,0,0,0,0,2,13,-5,0
J.R. Smith,28:38,0,4,.000,0,3,.000,0,0,nan,0,2,2,2,0,1,2,1,0,-3,0
Isaiah Thomas,27:57,3,9,.333,0,2,.000,8,9,.889,1,0,1,2,1,0,3,1,14,-15,0
Kevin Love,26:31,4,8,.500,0,1,.000,2,2,1.000,0,11,11,0,1,0,0,3,10,-14,0
Tristan Thompson,19:20,3,4,.750,0,0,nan,2,2,1.000,0,1,1,1,1,0,0,2,8,-3,0
Dwyane Wade,17:31,6,8,.750,0,0,nan,0,0,nan,1,5,6,2,2,0,2,1,12,-7,0
Jeff Green,16:23,3,4,.750,0,0,nan,2,2,1.000,2,2,4,0,1,0,2,2,8,-7,0
Kyle Korver,14:19,1,4,.250,1,4,.250,0,0,nan,0,1,1,4,0,0,0,0,3,+3,0
Derrick Rose,12:58,1,1,1.000,0,0,nan,4,4,1.000,0,0,0,1,0,1,4,0,6,+1,0
Iman Shumpert,5:33,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,0,2,0,-2,0
Cedi Osman,1:16,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,0,+2,0
Jose Calderon,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,35,72,.486,6,21,.286,26,31,.839,6,35,41,19,6,3,18,14,102,nan,0
LaMarcus Aldridge,40:42,12,18,.667,0,1,.000,6,7,.857,3,5,8,3,2,1,2,0,30,+23,1
Kyle Anderson,33:42,5,10,.500,0,0,nan,0,0,nan,3,9,12,5,1,1,0,3,10,+13,1
Dejounte Murray,29:45,8,15,.533,0,0,nan,3,4,.750,4,6,10,3,7,0,4,4,19,+3,1
Danny Green,29:40,3,11,.273,1,7,.143,0,0,nan,1,4,5,2,0,2,1,3,7,+14,1
Davis Bertans,29:32,4,9,.444,2,7,.286,3,3,1.000,0,5,5,3,1,0,0,2,13,+5,1
Bryn Forbes,22:35,3,8,.375,2,6,.333,0,0,nan,0,1,1,0,0,0,0,2,8,+17,1
Patty Mills,19:43,3,7,.429,3,5,.600,0,0,nan,0,0,0,1,0,0,0,2,9,-5,1
Tony Parker,18:15,7,12,.583,0,1,.000,0,0,nan,0,0,0,6,0,0,1,1,14,+9,1
Joffrey Lauvergne,11:39,2,3,.667,0,0,nan,0,2,.000,2,1,3,0,0,0,1,1,4,-15,1
Brandon Paul,3:27,0,1,.000,0,1,.000,0,0,nan,0,1,1,0,0,0,0,1,0,-4,1
Darrun Hilliard,1:00,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
Manu Ginobili,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pau Gasol,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,35,72,.486,6,21,.286,26,31,.839,6,35,41,19,6,3,18,14,102,nan,240,1
