Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jason Thompson,31:46,6,7,.857,0,0,nan,1,4,.250,1,6,7,0,0,0,3,4,13,-26,0
Beno Udrih,30:24,4,7,.571,0,0,nan,1,2,.500,0,2,2,4,1,0,2,3,9,-18,0
DeMarcus Cousins,28:22,3,14,.214,0,0,nan,2,4,.500,2,5,7,4,1,0,2,3,8,-10,0
Omri Casspi,25:32,4,10,.400,1,3,.333,1,2,.500,0,1,1,2,0,0,1,0,10,-17,0
Jermaine Taylor,23:24,5,11,.455,1,3,.333,2,2,1.000,2,0,2,0,1,0,2,1,13,-20,0
Samuel Dalembert,31:22,8,12,.667,0,0,nan,2,2,1.000,4,9,13,2,0,0,0,1,18,-10,0
Donte Greene,25:24,3,9,.333,0,3,.000,0,0,nan,0,1,1,1,0,0,0,2,6,-4,0
Eugene Jeter,20:52,3,5,.600,1,1,1.000,2,2,1.000,0,0,0,4,0,0,0,0,9,-9,0
Luther Head,18:24,3,6,.500,1,3,.333,2,2,1.000,0,1,1,1,0,1,2,0,9,+8,0
Darnell Jackson,4:30,1,3,.333,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,2,+6,0
Team Totals,240,40,84,.476,4,14,.286,13,20,.650,9,25,34,18,3,1,12,14,97,nan,0
Dwyane Wade,35:29,11,20,.550,1,3,.333,0,0,nan,1,7,8,7,2,1,1,2,23,+22,1
Chris Bosh,35:05,8,14,.571,0,1,.000,6,6,1.000,0,9,9,1,4,1,1,1,22,+24,1
LeBron James,30:24,14,26,.538,3,6,.500,0,3,.000,2,6,8,3,0,0,3,4,31,+18,1
Mario Chalmers,28:17,6,7,.857,0,1,.000,2,2,1.000,0,3,3,4,1,1,1,1,14,+18,1
Erick Dampier,24:02,0,0,nan,0,0,nan,0,0,nan,2,3,5,2,2,1,1,2,0,+18,1
Eddie House,27:44,5,11,.455,0,2,.000,0,0,nan,0,3,3,1,0,0,0,2,10,+6,1
James Jones,26:01,3,6,.500,3,5,.600,0,0,nan,0,2,2,1,0,0,0,2,9,+4,1
Joel Anthony,20:01,3,3,1.000,0,0,nan,0,0,nan,2,1,3,1,0,0,1,2,6,+6,1
Carlos Arroyo,4:30,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,1,0,2,-6,1
Juwan Howard,4:30,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,0,0,-6,1
Jamaal Magloire,3:57,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,3,0,-4,1
240,40,84,.476,4,14,.286,13,20,.650,9,25,34,18,3,1,12,14,97,nan,240,1
