Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Wayne Ellington,29:47,5,14,.357,2,6,.333,0,0,nan,1,4,5,2,0,0,0,0,12,-11,0
Jordan Clarkson,27:19,6,14,.429,0,2,.000,8,9,.889,3,3,6,4,3,0,0,1,20,-13,0
Tarik Black,26:13,4,7,.571,0,0,nan,0,0,nan,4,3,7,1,1,1,0,4,8,-9,0
Robert Sacre,24:00,2,8,.250,0,0,nan,0,2,.000,2,3,5,2,2,2,2,0,4,-15,0
Ryan Kelly,20:47,1,7,.143,0,3,.000,0,0,nan,0,2,2,0,1,1,0,3,2,+7,0
Wesley Johnson,29:24,5,14,.357,2,4,.500,3,3,1.000,2,1,3,2,2,0,1,2,15,-8,0
Ed Davis,24:00,6,7,.857,0,0,nan,4,4,1.000,3,6,9,2,2,1,0,2,16,0,0
Nick Young,22:29,3,10,.300,2,7,.286,0,0,nan,1,0,1,3,0,0,1,3,8,-8,0
Jeremy Lin,20:41,5,9,.556,1,1,1.000,0,0,nan,0,2,2,3,0,0,3,1,11,-2,0
Carlos Boozer,15:20,4,10,.400,0,0,nan,1,1,1.000,3,3,6,3,0,0,0,2,9,-16,0
Ronnie Price,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Jordan Hill,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Kobe Bryant,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,41,100,.410,7,23,.304,16,19,.842,19,27,46,22,11,5,7,18,105,nan,0
Kevin Love,34:31,11,18,.611,7,8,.875,3,5,.600,0,10,10,3,0,0,1,2,32,+23,1
J.R. Smith,33:40,1,4,.250,0,2,.000,0,0,nan,0,1,1,4,0,0,0,1,2,+17,1
Kyrie Irving,31:52,10,14,.714,5,8,.625,3,4,.750,0,4,4,10,1,0,1,4,28,+25,1
LeBron James,30:11,8,16,.500,2,7,.286,4,5,.800,2,8,10,8,1,0,6,2,22,+15,1
Timofey Mozgov,28:14,4,6,.667,0,0,nan,0,0,nan,3,7,10,1,0,4,3,3,8,+20,1
Iman Shumpert,29:05,5,13,.385,2,5,.400,0,0,nan,0,2,2,2,4,2,2,0,12,+2,1
Tristan Thompson,28:36,4,7,.571,0,0,nan,2,6,.333,1,7,8,2,0,1,0,0,10,-5,1
Matthew Dellavedova,15:39,1,2,.500,1,1,1.000,0,0,nan,0,0,0,0,0,0,1,2,3,-8,1
James Jones,4:39,0,1,.000,0,1,.000,0,0,nan,0,1,1,1,0,0,0,0,0,-8,1
Joe Harris,3:33,1,1,1.000,1,1,1.000,0,0,nan,0,0,0,0,0,0,0,1,3,-6,1
Mike Miller,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Shawn Marion,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Brendan Haywood,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,41,100,.410,7,23,.304,16,19,.842,19,27,46,22,11,5,7,18,105,nan,240,1
