Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,35:18,4,17,.235,1,5,.200,4,6,.667,0,4,4,5,0,0,5,0,13,-19,0
Damon Jones,29:39,1,4,.250,0,2,.000,0,0,nan,0,3,3,6,1,0,2,2,2,-7,0
Zydrunas Ilgauskas,27:37,5,16,.313,0,0,nan,1,2,.500,1,4,5,0,1,0,1,1,11,-19,0
Ben Wallace,20:22,3,3,1.000,0,0,nan,0,0,nan,3,2,5,0,0,2,1,1,6,-15,0
Sasha Pavlovic,20:11,2,8,.250,1,1,1.000,1,2,.500,0,0,0,1,0,0,0,0,6,-3,0
Anderson Varejao,25:48,1,2,.500,0,0,nan,1,2,.500,5,4,9,2,1,0,1,3,3,-11,0
Wally Szczerbiak,20:42,3,9,.333,0,0,nan,2,2,1.000,0,4,4,1,1,0,0,0,8,+1,0
Devin Brown,20:09,4,8,.500,0,1,.000,3,3,1.000,0,0,0,2,1,0,0,3,11,-10,0
Daniel Gibson,18:01,0,2,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,3,1,-4,0
Joe Smith,14:24,4,4,1.000,0,0,nan,2,2,1.000,1,4,5,0,0,0,0,1,10,+7,0
Dwayne Jones,7:49,0,1,.000,0,0,nan,0,0,nan,1,1,2,1,1,2,0,1,0,+10,0
Team Totals,240,27,74,.365,2,10,.200,15,21,.714,11,26,37,19,6,4,11,15,71,nan,0
Tayshaun Prince,35:29,5,12,.417,0,1,.000,2,2,1.000,3,4,7,5,2,0,0,2,12,+19,1
Richard Hamilton,31:41,3,12,.250,0,2,.000,8,8,1.000,0,3,3,1,1,1,1,2,14,+17,1
Rasheed Wallace,25:31,3,8,.375,1,4,.250,2,2,1.000,1,6,7,0,0,3,0,0,9,+12,1
Chauncey Billups,25:25,6,10,.600,0,1,.000,1,1,1.000,0,2,2,4,0,0,2,0,13,+13,1
Antonio McDyess,22:07,6,8,.750,0,0,nan,0,0,nan,3,7,10,2,1,0,1,4,12,+15,1
Rodney Stuckey,22:35,2,3,.667,0,0,nan,1,2,.500,0,1,1,2,2,1,3,0,5,+1,1
Jason Maxiell,22:00,6,8,.750,0,0,nan,1,2,.500,2,1,3,0,0,1,2,4,13,+3,1
Theo Ratliff,19:27,1,2,.500,0,0,nan,0,0,nan,0,2,2,2,0,2,1,1,2,+5,1
Arron Afflalo,16:19,0,3,.000,0,1,.000,1,2,.500,0,2,2,0,2,0,0,1,1,-3,1
Walter Herrmann,7:28,0,6,.000,0,3,.000,2,2,1.000,1,1,2,1,0,0,0,1,2,-10,1
Amir Johnson,6:55,0,0,nan,0,0,nan,0,0,nan,1,2,3,0,0,2,1,1,0,-7,1
Jarvis Hayes,5:03,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,3,2,+5,1
240,27,74,.365,2,10,.200,15,21,.714,11,26,37,19,6,4,11,15,71,nan,240,1
