Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jamal Crawford,30:01,6,14,.429,1,6,.167,0,0,nan,0,0,0,1,1,0,3,2,13,-25,0
Chris Paul,27:28,4,14,.286,1,4,.250,1,2,.500,0,2,2,9,1,0,0,3,10,-22,0
DeAndre Jordan,27:28,3,4,.750,0,0,nan,2,4,.500,5,9,14,0,0,1,1,3,8,-22,0
Blake Griffin,26:34,7,17,.412,0,0,nan,2,3,.667,3,5,8,4,0,0,1,3,16,-23,0
Matt Barnes,23:49,2,5,.400,0,2,.000,0,0,nan,1,2,3,2,0,0,3,3,4,-17,0
Austin Rivers,22:05,4,11,.364,1,2,.500,1,2,.500,3,2,5,5,2,0,1,5,10,+11,0
Dahntay Jones,20:35,2,4,.500,0,0,nan,1,2,.500,0,1,1,1,1,0,1,3,5,+8,0
Glen Davis,19:20,3,9,.333,0,1,.000,1,2,.500,1,2,3,0,0,0,0,2,7,+15,0
Spencer Hawes,17:42,4,6,.667,1,2,.500,2,2,1.000,1,3,4,0,1,0,2,3,11,-11,0
C.J. Wilcox,16:48,2,6,.333,1,5,.200,1,1,1.000,0,1,1,1,1,0,0,1,6,+16,0
Ekpe Udoh,6:24,1,1,1.000,0,0,nan,2,2,1.000,0,2,2,1,2,0,0,0,4,+18,0
Hedo Turkoglu,1:46,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,1,0,-3,0
J.J. Redick,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,38,91,.418,5,22,.227,13,20,.650,14,29,43,24,9,1,12,29,94,nan,0
Kyrie Irving,31:58,1,5,.200,1,3,.333,7,7,1.000,2,4,6,4,0,0,1,3,10,+26,1
J.R. Smith,28:56,6,10,.600,4,8,.500,0,0,nan,1,4,5,2,5,0,0,2,16,+25,1
Kevin Love,28:40,6,14,.429,2,6,.333,10,12,.833,0,9,9,3,0,0,3,2,24,+23,1
Timofey Mozgov,28:23,5,7,.714,0,0,nan,2,6,.333,4,5,9,2,0,1,3,2,12,+27,1
LeBron James,27:47,8,14,.571,1,2,.500,6,7,.857,0,3,3,9,1,0,2,0,23,+28,1
Matthew Dellavedova,20:20,1,2,.500,0,0,nan,2,2,1.000,0,0,0,1,2,0,2,4,4,-8,1
Tristan Thompson,20:12,2,4,.500,0,0,nan,5,6,.833,4,6,10,0,0,2,4,4,9,+2,1
Iman Shumpert,18:07,1,5,.200,0,3,.000,2,2,1.000,2,2,4,1,2,0,1,2,4,+1,1
Mike Miller,12:51,0,5,.000,0,5,.000,1,2,.500,0,1,1,0,0,0,0,2,1,-17,1
Shawn Marion,12:00,1,3,.333,0,1,.000,0,0,nan,1,3,4,1,0,1,0,0,2,-20,1
Brendan Haywood,5:23,0,1,.000,0,0,nan,0,0,nan,0,1,1,0,0,0,1,0,0,-16,1
James Jones,5:23,0,2,.000,0,2,.000,0,0,nan,0,0,0,0,0,0,1,0,0,-16,1
240,38,91,.418,5,22,.227,13,20,.650,14,29,43,24,9,1,12,29,94,nan,240,1
