Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jose Calderon,28:28,4,5,.800,2,2,1.000,4,4,1.000,0,4,4,2,1,0,1,2,14,+15,0
LeBron James,27:16,7,14,.500,3,5,.600,1,1,1.000,0,2,2,8,1,1,0,2,18,+21,0
J.R. Smith,26:56,1,5,.200,1,5,.200,0,0,nan,0,4,4,2,1,0,1,1,3,+23,0
Kevin Love,25:51,8,12,.667,1,2,.500,2,2,1.000,2,9,11,4,0,0,2,3,19,+30,0
Jae Crowder,25:43,5,11,.455,2,5,.400,6,6,1.000,2,3,5,0,0,0,0,1,18,+23,0
Jeff Green,22:25,4,10,.400,2,5,.400,1,2,.500,2,1,3,1,0,0,2,0,11,+5,0
Channing Frye,22:17,4,7,.571,2,3,.667,0,0,nan,0,2,2,2,0,0,0,1,10,+5,0
Dwyane Wade,19:32,4,8,.500,0,0,nan,0,0,nan,0,4,4,5,1,0,1,1,8,+13,0
Kyle Korver,17:24,3,4,.750,2,3,.667,0,0,nan,0,1,1,3,0,0,1,0,8,+21,0
Cedi Osman,13:48,2,3,.667,1,2,.500,2,2,1.000,1,3,4,1,0,1,2,3,7,-9,0
John Holland,10:20,0,1,.000,0,1,.000,0,0,nan,0,2,2,0,0,0,1,0,0,-7,0
Team Totals,240,42,80,.525,16,33,.485,16,17,.941,7,35,42,28,4,2,11,14,116,nan,0
Stanley Johnson,28:23,4,7,.571,1,3,.333,1,2,.500,0,3,3,0,1,0,2,3,10,-29,1
Tobias Harris,27:50,4,10,.400,2,5,.400,1,1,1.000,0,5,5,3,0,0,1,0,11,-27,1
Avery Bradley,27:21,4,9,.444,1,5,.200,0,0,nan,0,2,2,3,0,0,2,2,9,-21,1
Andre Drummond,24:56,3,7,.429,0,0,nan,2,6,.333,3,5,8,3,1,0,6,3,8,-19,1
Reggie Jackson,24:17,3,7,.429,2,2,1.000,2,2,1.000,0,1,1,6,0,0,1,1,10,-20,1
Eric Moreland,21:07,3,4,.750,0,0,nan,0,0,nan,3,4,7,1,0,2,1,3,6,-4,1
Langston Galloway,20:39,3,8,.375,2,5,.400,0,0,nan,0,1,1,2,0,0,0,0,8,-7,1
Ish Smith,16:57,1,6,.167,0,1,.000,1,2,.500,0,0,0,2,1,0,0,3,3,-17,1
Luke Kennard,16:34,2,8,.250,1,3,.333,0,0,nan,0,3,3,0,1,0,1,1,5,+5,1
Anthony Tolliver,13:10,2,3,.667,2,3,.667,0,0,nan,0,1,1,0,0,0,0,3,6,-21,1
Henry Ellenson,12:00,2,5,.400,2,3,.667,0,0,nan,0,2,2,1,1,0,0,0,6,+11,1
Reggie Bullock,6:46,3,3,1.000,0,0,nan,0,0,nan,1,0,1,2,2,0,0,0,6,+9,1
Boban Marjanovic,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,42,80,.525,16,33,.485,16,17,.941,7,35,42,28,4,2,11,14,116,nan,240,1
