Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Gilbert Arenas,46:56,8,21,.381,4,7,.571,6,8,.750,1,4,5,9,3,0,2,5,26,+8,0
Antawn Jamison,43:30,11,22,.500,2,6,.333,1,4,.250,2,10,12,0,1,0,1,3,25,+11,0
Caron Butler,41:13,9,15,.600,4,5,.800,2,2,1.000,2,5,7,2,3,0,5,4,24,+8,0
Brendan Haywood,29:39,2,6,.333,0,0,nan,2,3,.667,0,5,5,3,0,2,0,4,6,+9,0
Jared Jeffries,19:50,2,3,.667,0,0,nan,1,4,.250,1,4,5,1,0,0,0,4,5,+19,0
Antonio Daniels,31:33,5,7,.714,0,0,nan,0,0,nan,0,1,1,7,2,0,0,2,10,-8,0
Michael Ruffin,12:20,1,3,.333,0,0,nan,0,2,.000,4,4,8,0,1,1,1,2,2,+1,0
Donell Taylor,8:58,1,3,.333,0,0,nan,0,0,nan,1,1,2,0,0,0,1,0,2,-6,0
Etan Thomas,6:01,1,2,.500,0,0,nan,0,0,nan,1,0,1,0,0,0,0,3,2,-2,0
Team Totals,240,40,82,.488,10,18,.556,12,23,.522,12,34,46,22,10,3,10,27,102,nan,0
LeBron James,47:46,7,21,.333,3,8,.375,8,19,.421,0,7,7,9,1,0,4,2,25,-8,1
Zydrunas Ilgauskas,33:35,9,16,.563,0,0,nan,5,6,.833,3,6,9,1,0,5,3,2,23,-7,1
Eric Snow,29:22,2,4,.500,0,1,.000,0,0,nan,1,0,1,5,1,1,4,2,4,-20,1
Drew Gooden,20:21,3,7,.429,0,0,nan,0,2,.000,2,3,5,0,0,0,1,2,6,-20,1
Sasha Pavlovic,4:01,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,-10,1
Donyell Marshall,32:09,7,9,.778,2,4,.500,3,3,1.000,1,7,8,0,2,0,1,1,19,+12,1
Damon Jones,24:55,1,3,.333,1,3,.333,0,0,nan,0,2,2,1,0,0,2,1,3,+9,1
Ronald Murray,24:19,2,3,.667,0,0,nan,0,0,nan,0,2,2,4,1,0,2,4,4,+14,1
Stephen Graham,13:56,1,2,.500,0,0,nan,2,2,1.000,0,0,0,0,0,1,0,2,4,-11,1
Anderson Varejao,9:35,2,2,1.000,0,0,nan,2,3,.667,1,3,4,0,1,0,1,3,6,+1,1
240,40,82,.488,10,18,.556,12,23,.522,12,34,46,22,10,3,10,27,102,nan,240,1
