Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
LeBron James,41:13,8,17,.471,0,1,.000,6,6,1.000,0,4,4,3,0,0,0,0,22,+22,0
Dwyane Wade,35:29,8,14,.571,0,0,nan,2,3,.667,1,3,4,8,1,2,2,2,18,+4,0
Mario Chalmers,27:50,4,6,.667,0,0,nan,6,7,.857,0,1,1,4,1,0,0,5,14,+9,0
Chris Bosh,24:03,6,10,.600,2,3,.667,1,1,1.000,0,3,3,0,1,0,0,4,15,-3,0
Udonis Haslem,23:01,8,9,.889,0,0,nan,1,1,1.000,1,6,7,1,0,0,1,4,17,+9,0
Chris Andersen,22:03,4,4,1.000,0,0,nan,1,2,.500,3,6,9,0,0,2,0,4,9,+10,0
Shane Battier,21:12,1,4,.250,1,4,.250,4,4,1.000,0,2,2,1,0,0,0,2,7,+16,0
Ray Allen,18:40,2,6,.333,2,4,.500,0,0,nan,1,0,1,2,1,1,1,4,6,+14,0
Norris Cole,15:18,1,5,.200,1,2,.500,2,2,1.000,0,1,1,1,2,0,0,1,5,+12,0
Joel Anthony,3:05,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,0,2,0,-3,0
Rashard Lewis,2:58,0,2,.000,0,0,nan,1,2,.500,0,0,0,0,0,0,1,1,1,-1,0
Mike Miller,2:58,0,0,nan,0,0,nan,0,0,nan,0,3,3,1,0,0,0,1,0,-1,0
James Jones,2:10,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,+2,0
Team Totals,240,42,77,.545,6,14,.429,24,28,.857,6,30,36,21,6,5,5,30,114,nan,0
Paul George,41:33,3,10,.300,2,4,.500,5,8,.625,0,2,2,8,0,0,5,3,13,-17,1
George Hill,37:15,5,10,.500,3,3,1.000,6,7,.857,0,1,1,2,0,0,1,3,19,-9,1
Roy Hibbert,36:50,4,12,.333,0,0,nan,12,15,.800,7,10,17,3,0,2,2,4,20,-16,1
David West,36:11,8,16,.500,0,0,nan,5,8,.625,4,6,10,1,0,0,2,5,21,-5,1
Lance Stephenson,34:17,2,10,.200,2,5,.400,1,2,.500,0,1,1,2,1,0,0,3,7,+2,1
D.J. Augustin,13:25,1,1,1.000,1,1,1.000,0,0,nan,0,0,0,0,0,0,0,1,3,-14,1
Tyler Hansbrough,11:42,2,7,.286,0,0,nan,0,2,.000,3,2,5,0,0,0,0,4,4,-11,1
Sam Young,7:58,1,1,1.000,0,0,nan,0,0,nan,2,1,3,0,0,0,0,1,2,-12,1
Ian Mahinmi,7:51,2,2,1.000,0,0,nan,0,0,nan,2,2,4,0,0,0,0,1,4,0,1
Gerald Green,3:19,1,1,1.000,0,0,nan,0,0,nan,0,1,1,0,0,0,0,0,2,-2,1
Orlando Johnson,3:19,0,3,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-2,1
Jeff Ayres,3:19,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,1,0,0,0,-2,1
Ben Hansbrough,3:01,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,-2,1
240,42,77,.545,6,14,.429,24,28,.857,6,30,36,21,6,5,5,30,114,nan,240,1
