Player,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Jae Crowder,34:14,5,9,.556,2,5,.400,1,2,.500,0,4,4,3,2,0,0,3,13,+3,0
Isaiah Thomas,33:33,8,13,.615,2,5,.400,13,13,1.000,1,2,3,9,2,0,3,1,31,-10,0
Avery Bradley,29:50,10,21,.476,3,10,.300,0,0,nan,0,3,3,0,4,0,4,3,23,-19,0
Al Horford,29:06,3,9,.333,0,2,.000,0,0,nan,0,1,1,4,0,3,2,2,6,-18,0
Amir Johnson,14:59,0,2,.000,0,1,.000,0,0,nan,2,4,6,2,1,0,1,4,0,-8,0
Marcus Smart,31:18,3,7,.429,1,5,.200,2,2,1.000,0,1,1,5,2,0,1,4,9,+1,0
Jonas Jerebko,17:03,4,7,.571,2,4,.500,2,2,1.000,1,6,7,0,2,0,0,1,12,+13,0
Gerald Green,15:35,3,6,.500,2,4,.500,0,0,nan,0,0,0,0,1,1,0,4,8,-7,0
Kelly Olynyk,12:52,1,3,.333,0,1,.000,0,0,nan,1,0,1,2,1,0,0,0,2,-6,0
Jaylen Brown,11:50,3,4,.750,0,0,nan,0,0,nan,1,2,3,1,0,0,0,1,6,+8,0
Tyler Zeller,9:40,3,4,.750,0,0,nan,2,2,1.000,0,0,0,0,0,0,0,0,8,+13,0
James Young,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Terry Rozier,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Team Totals,240,43,85,.506,12,37,.324,20,21,.952,6,23,29,26,15,4,11,23,118,nan,0
LeBron James,43:44,9,18,.500,2,6,.333,3,7,.429,2,6,8,11,1,3,8,2,23,+1,1
Kyrie Irving,41:36,12,17,.706,2,5,.400,6,7,.857,2,3,5,12,3,0,4,0,32,+10,1
Kevin Love,34:28,10,22,.455,6,16,.375,4,4,1.000,3,12,15,2,2,0,4,4,30,+18,1
Tristan Thompson,32:27,5,9,.556,0,1,.000,1,2,.500,3,6,9,1,0,0,1,1,11,+17,1
DeAndre Liggins,20:05,2,5,.400,2,4,.500,2,2,1.000,0,0,0,1,0,0,0,3,8,+9,1
Iman Shumpert,29:35,2,6,.333,1,4,.250,1,2,.500,2,0,2,1,1,0,0,3,6,-6,1
Richard Jefferson,19:23,2,2,1.000,0,0,nan,7,9,.778,0,3,3,1,0,0,0,2,11,-5,1
Channing Frye,15:26,1,4,.250,1,2,.500,0,0,nan,1,2,3,0,0,0,0,0,3,-9,1
Mike Dunleavy,3:16,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,0,1,1,0,-5,1
Jordan McRae,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
James Jones,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
J.R. Smith,Did Not Dress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kay Felder,Did Not Play,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
240,43,85,.506,12,37,.324,20,21,.952,6,23,29,26,15,4,11,23,118,nan,240,1
