Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Carmelo Anthony,41:31,15,31,.484,2,5,.400,3,4,.750,2,6,8,1,2,0,1,5,35,-6,0
Tyson Chandler,41:06,3,6,.500,0,0,nan,1,2,.500,4,7,11,3,1,4,1,3,7,-10,0
Mike Bibby,36:25,4,7,.571,2,4,.500,0,0,nan,2,4,6,6,0,0,1,1,10,-6,0
Amar'e Stoudemire,31:41,4,7,.571,0,0,nan,6,6,1.000,1,3,4,1,1,0,5,6,14,-12,0
Landry Fields,26:44,5,7,.714,0,0,nan,2,3,.667,1,4,5,1,3,0,3,2,12,-7,0
J.R. Smith,35:53,3,15,.200,0,4,.000,6,6,1.000,0,0,0,0,0,0,2,3,12,-20,0
Steve Novak,12:13,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,1,0,0,0,+8,0
Toney Douglas,8:21,1,1,1.000,0,0,nan,0,0,nan,0,0,0,1,0,0,0,0,2,-2,0
Jared Jeffries,4:38,1,1,1.000,0,0,nan,0,0,nan,0,0,0,0,0,0,0,2,2,-4,0
Josh Harrellson,1:28,0,1,.000,0,0,nan,0,0,nan,1,0,1,0,0,0,0,1,0,-1,0
Team Totals,240,36,76,.474,4,13,.308,18,21,.857,11,25,36,13,7,5,13,23,94,nan,0
LeBron James,39:38,7,16,.438,2,6,.333,13,15,.867,1,7,8,7,2,1,4,2,29,+6,1
Dwyane Wade,38:26,7,19,.368,0,0,nan,5,7,.714,1,3,4,3,2,2,2,4,19,+6,1
Mario Chalmers,35:40,4,11,.364,2,4,.500,0,0,nan,2,4,6,3,1,0,2,2,10,-2,1
Chris Bosh,34:47,8,15,.533,0,0,nan,3,3,1.000,3,4,7,0,1,0,0,2,19,+6,1
Udonis Haslem,23:57,2,6,.333,0,0,nan,3,4,.750,0,7,7,0,0,0,1,3,7,+7,1
Shane Battier,28:08,2,4,.500,2,4,.500,3,3,1.000,1,2,3,4,0,0,0,1,9,+8,1
Mike Miller,20:35,3,5,.600,3,5,.600,0,0,nan,0,2,2,2,1,0,0,3,9,+13,1
Joel Anthony,18:49,1,2,.500,0,0,nan,2,2,1.000,5,0,5,1,0,0,1,1,4,+16,1
240,36,76,.474,4,13,.308,18,21,.857,11,25,36,13,7,5,13,23,94,nan,240,1
