Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Larry Hughes,40:30,8,19,.421,3,6,.500,0,0,nan,1,4,5,3,1,0,2,6,19,0,0
LeBron James,40:11,10,22,.455,1,3,.333,16,21,.762,0,1,1,8,2,1,3,4,37,+8,0
Zydrunas Ilgauskas,34:35,7,14,.500,0,0,nan,4,4,1.000,5,6,11,4,1,0,2,4,18,+14,0
Drew Gooden,27:16,4,9,.444,0,0,nan,2,2,1.000,6,3,9,0,1,0,2,4,10,-6,0
Eric Snow,26:39,1,5,.200,0,0,nan,2,2,1.000,0,4,4,6,1,0,2,1,4,-10,0
Damon Jones,22:36,4,7,.571,3,4,.750,3,3,1.000,0,0,0,0,2,0,0,3,14,+4,0
Anderson Varejao,20:32,0,1,.000,0,0,nan,4,6,.667,3,2,5,0,1,0,1,2,4,-12,0
Donyell Marshall,16:28,1,3,.333,0,2,.000,1,2,.500,1,6,7,1,0,0,1,2,3,0,0
Daniel Gibson,9:21,0,2,.000,0,0,nan,2,2,1.000,0,0,0,0,0,0,1,2,2,-7,0
Sasha Pavlovic,1:49,0,1,.000,0,1,.000,0,0,nan,0,0,0,0,0,0,0,0,0,-1,0
Team Totals,240,35,83,.422,7,16,.438,34,42,.810,16,26,42,22,9,1,14,28,111,nan,0
Vince Carter,39:06,10,18,.556,4,5,.800,14,18,.778,0,6,6,5,0,0,3,4,38,+11,1
Richard Jefferson,38:23,4,7,.571,0,1,.000,6,6,1.000,1,4,5,3,0,0,6,2,14,-13,1
Jason Kidd,37:43,4,9,.444,0,2,.000,1,2,.500,1,7,8,10,3,1,1,2,9,-6,1
Jason Collins,32:00,3,4,.750,0,0,nan,3,6,.500,0,1,1,0,0,0,2,4,9,+6,1
Nenad Krstic,31:37,8,10,.800,0,0,nan,2,3,.667,1,2,3,2,0,1,2,5,18,+2,1
Mikki Moore,17:31,0,1,.000,0,0,nan,2,2,1.000,2,3,5,1,0,2,1,5,2,-1,1
Hassan Adams,14:27,3,4,.750,0,0,nan,0,0,nan,1,2,3,1,0,0,0,3,6,+7,1
Marcus Williams,10:17,2,4,.500,1,2,.500,0,0,nan,0,1,1,2,0,0,1,1,5,+8,1
Eddie House,8:43,2,6,.333,1,2,.500,0,0,nan,0,2,2,0,0,0,0,0,5,0,1
Bostjan Nachbar,8:15,3,5,.600,1,3,.333,0,0,nan,0,1,1,0,1,0,2,2,7,-1,1
Josh Boone,1:52,0,0,nan,0,0,nan,0,0,nan,0,1,1,0,0,1,0,0,0,-3,1
Antoine Wright,0:03,0,0,nan,0,0,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,1
240,35,83,.422,7,16,.438,34,42,.810,16,26,42,22,9,1,14,28,111,nan,240,1
